Year,OutsetYear,OutsetMoon,OutsetDay,Moons,Days
1809,1809-03-21 02:21:53.639,1809-04-14 21:38:40.133,1809-04-15 06:08:10.083,12,354
1810,1810-03-21 08:20:42.596,1810-04-04 02:16:09.540,1810-04-04 06:21:32.484,12,355
1811,1811-03-21 14:12:54.970,1811-03-24 14:11:11.623,1811-03-25 05:34:33.325,13,384
1812,1812-03-20 19:59:14.388,1812-04-11 14:40:07.031,1812-04-12 06:11:20.709,12,355
1813,1813-03-21 01:49:49.588,1813-04-01 07:12:28.929,1813-04-02 05:23:45.438,12,354
1814,1814-03-21 07:42:39.290,1814-03-21 21:06:53.196,1814-03-22 05:38:08.571,13,384
1815,1815-03-21 13:30:50.548,1815-04-09 19:32:14.981,1815-04-10 06:14:36.591,12,354
1816,1816-03-20 19:15:57.702,1816-03-28 19:53:40.775,1816-03-29 05:28:31.763,13,384
1817,1817-03-21 01:00:14.333,1817-04-16 14:34:43.660,1817-04-17 06:06:01.551,12,354
1818,1818-03-21 06:49:57.634,1818-04-05 13:46:57.600,1818-04-06 06:19:10.349,12,354
1819,1819-03-21 12:38:44.927,1819-03-25 21:09:04.500,1819-03-26 05:33:22.027,13,384
1820,1820-03-20 18:23:46.222,1820-04-13 01:00:39.103,1820-04-13 06:10:16.789,12,355
1821,1821-03-21 00:15:23.417,1821-04-02 18:25:32.410,1821-04-03 05:22:36.296,12,355
1822,1822-03-21 06:09:04.325,1822-03-23 12:59:27.710,1822-03-24 05:35:39.554,13,384
1823,1823-03-21 11:54:44.165,1823-04-11 15:24:58.194,1823-04-12 06:12:20.514,12,354
1824,1824-03-20 17:38:40.206,1824-03-30 23:42:15.385,1824-03-31 05:26:05.469,13,384
1825,1825-03-20 23:25:17.070,1825-04-18 17:11:40.211,1825-04-19 06:03:55.986,12,354
1826,1826-03-21 05:16:27.290,1826-04-07 14:51:07.457,1826-04-08 06:16:50.060,12,354
1827,1827-03-21 11:08:15.098,1827-03-27 14:31:45.801,1827-03-28 05:30:53.936,13,384
1828,1828-03-20 16:53:11.293,1828-04-14 09:57:15.745,1828-04-15 06:08:05.563,12,354
1829,1829-03-20 22:42:25.442,1829-04-03 23:23:49.488,1829-04-04 06:21:27.509,12,355
1830,1830-03-21 04:37:10.005,1830-03-24 15:37:39.432,1830-03-25 05:34:28.152,13,384
1831,1831-03-21 10:26:23.694,1831-04-12 16:30:15.611,1831-04-13 06:11:16.055,12,354
1832,1832-03-20 16:16:27.743,1832-04-01 05:04:05.908,1832-04-01 05:24:55.682,12,355
1833,1833-03-20 22:11:47.152,1833-03-21 10:11:09.569,1833-03-22 05:38:03.382,13,383
1834,1834-03-21 04:04:17.020,1834-04-09 04:06:38.996,1834-04-09 06:15:43.442,12,354
1835,1835-03-21 09:55:38.387,1835-03-29 00:14:08.593,1835-03-29 05:29:43.133,13,384
1836,1836-03-20 15:38:51.145,1836-04-15 21:10:50.430,1836-04-16 06:07:03.562,12,354
1837,1837-03-20 21:23:32.462,1837-04-05 06:07:18.486,1837-04-05 06:20:19.102,12,355
1838,1838-03-21 03:16:56.627,1838-03-25 21:43:13.623,1838-03-26 05:33:16.863,13,384
1839,1839-03-21 08:59:35.307,1839-04-14 03:28:14.998,1839-04-14 06:10:12.178,12,355
1840,1840-03-20 14:40:28.094,1840-04-02 22:03:39.965,1840-04-03 06:22:31.297,12,355
1841,1841-03-20 20:28:03.314,1841-03-23 10:09:09.266,1841-03-24 05:35:34.374,13,384
1842,1842-03-21 02:13:02.436,1842-04-11 07:51:09.398,1842-04-12 06:12:15.822,12,354
1843,1843-03-21 08:04:22.427,1843-03-31 06:35:07.294,1843-04-01 05:26:00.400,13,383
1844,1844-03-20 13:53:57.601,1844-04-17 21:33:03.493,1844-04-18 06:04:56.535,12,354
1845,1845-03-20 19:44:12.055,1845-04-06 22:58:10.706,1845-04-07 06:17:57.892,12,355
1846,1846-03-21 01:45:19.611,1846-03-27 08:07:58.486,1846-03-28 05:30:48.797,13,384
1847,1847-03-21 07:32:13.651,1847-04-15 07:30:52.898,1847-04-16 06:08:01.047,12,354
1848,1848-03-20 13:17:40.647,1848-04-03 23:56:18.474,1848-04-04 05:21:22.537,12,355
