Year,OutsetYear,OutsetMoon,OutsetDay,Moons,Days
1799,1799-03-20 08:31:15.251,1799-04-04 22:34:20.905,1799-04-05 05:51:06.049,12,354
1800,1800-03-20 14:11:59.891,1800-03-24 21:22:14.924,1800-03-25 06:08:39.955,13,384
1801,1801-03-20 19:55:36.783,1801-04-12 20:49:28.965,1801-04-13 06:40:01.523,12,355
1802,1802-03-21 01:48:06.743,1802-04-02 08:06:22.058,1802-04-03 05:55:21.429,12,354
1803,1803-03-21 07:33:48.886,1803-03-23 02:11:42.806,1803-03-23 06:13:05.507,13,385
1804,1804-03-20 13:17:25.315,1804-04-10 06:53:15.520,1804-04-11 06:42:36.074,12,354
1805,1805-03-20 19:04:22.783,1805-03-30 22:42:16.047,1805-03-31 05:59:40.379,12,355
1806,1806-03-21 00:52:05.914,1806-03-20 08:13:53.306,1806-03-21 06:15:55.924,13,383
1807,1807-03-21 06:41:56.381,1807-04-08 02:22:09.136,1807-04-08 06:48:11.779,12,354
1808,1808-03-20 12:29:48.815,1808-03-26 22:54:23.623,1808-03-27 06:05:37.003,13,384
1809,1809-03-20 18:21:53.639,1809-04-14 13:38:40.133,1809-04-15 06:37:17.235,12,354
1810,1810-03-21 00:20:42.596,1810-04-03 18:16:09.540,1810-04-04 06:53:56.185,12,354
1811,1811-03-21 06:12:54.970,1811-03-24 06:11:11.623,1811-03-24 06:11:37.198,13,384
1812,1812-03-20 11:59:14.388,1812-04-11 06:40:07.031,1812-04-11 06:42:42.824,12,355
1813,1813-03-20 17:49:49.588,1813-03-31 23:12:28.929,1813-04-01 05:58:14.025,12,355
1814,1814-03-20 23:42:39.290,1814-03-21 13:06:53.196,1814-03-22 06:14:27.485,13,384
1815,1815-03-21 05:30:50.548,1815-04-09 11:32:14.981,1815-04-10 06:45:19.763,12,354
1816,1816-03-20 11:15:57.702,1816-03-28 11:53:40.775,1816-03-29 06:02:34.976,13,383
1817,1817-03-20 17:00:14.333,1817-04-16 06:34:43.660,1817-04-16 06:35:59.467,12,354
1818,1818-03-20 22:49:57.634,1818-04-05 05:46:57.600,1818-04-05 06:52:31.359,12,355
1819,1819-03-21 04:38:44.927,1819-03-25 13:09:04.500,1819-03-26 06:08:33.576,13,384
1820,1820-03-20 10:23:46.222,1820-04-12 17:00:39.103,1820-04-13 06:39:55.757,12,355
1821,1821-03-20 16:15:23.417,1821-04-02 11:25:32.410,1821-04-03 06:55:15.236,12,354
1822,1822-03-20 22:09:04.325,1822-03-23 04:59:27.710,1822-03-23 06:12:59.102,13,385
1823,1823-03-21 03:54:44.165,1823-04-11 07:24:58.194,1823-04-12 06:42:30.218,12,354
1824,1824-03-20 09:38:40.206,1824-03-30 15:42:15.385,1824-03-31 05:59:34.107,13,384
1825,1825-03-20 15:25:17.070,1825-04-18 09:11:40.211,1825-04-19 06:31:58.121,12,354
1826,1826-03-20 21:16:27.290,1826-04-07 06:51:07.457,1826-04-08 06:48:05.755,12,354
1827,1827-03-21 03:08:15.098,1827-03-27 06:31:45.801,1827-03-28 06:05:30.653,13,383
1828,1828-03-20 08:53:11.293,1828-04-14 01:57:15.745,1828-04-14 06:38:36.583,12,355
1829,1829-03-20 14:42:25.442,1829-04-03 14:23:49.488,1829-04-04 05:53:50.021,12,355
1830,1830-03-20 20:37:10.005,1830-03-24 07:37:39.432,1830-03-25 06:09:55.245,13,384
1831,1831-03-21 02:26:23.694,1831-04-12 08:30:15.611,1831-04-13 06:41:09.785,12,354
1832,1832-03-20 08:16:27.743,1832-03-31 21:04:05.908,1832-04-01 06:58:07.777,12,354
1833,1833-03-20 14:11:47.152,1833-03-21 02:11:09.569,1833-03-21 06:15:56.900,13,384
1834,1834-03-20 20:04:17.020,1834-04-08 20:06:38.996,1834-04-09 06:46:42.939,12,354
1835,1835-03-21 01:55:38.387,1835-03-28 16:14:08.593,1835-03-29 06:04:03.175,13,384
1836,1836-03-20 07:38:51.145,1836-04-15 13:10:50.430,1836-04-16 06:35:53.857,12,354
1837,1837-03-20 13:23:32.462,1837-04-04 22:07:18.486,1837-04-05 06:52:25.227,12,355
1838,1838-03-20 19:16:56.627,1838-03-25 13:43:13.623,1838-03-26 06:08:27.199,13,384
1839,1839-03-21 00:59:35.307,1839-04-13 19:28:14.998,1839-04-14 06:39:49.995,12,355
1840,1840-03-20 06:40:28.094,1840-04-02 13:03:39.965,1840-04-03 05:55:09.044,12,354
1841,1841-03-20 12:28:03.314,1841-03-23 02:09:09.266,1841-03-23 06:12:52.697,13,384
1842,1842-03-20 18:13:02.436,1842-04-10 23:51:09.398,1842-04-11 06:43:52.168,12,354
1843,1843-03-21 00:04:22.427,1843-03-30 22:35:07.294,1843-03-31 06:01:01.715,13,384
1844,1844-03-20 05:53:57.601,1844-04-17 13:33:03.493,1844-04-18 06:33:14.323,12,354
1845,1845-03-20 11:44:12.055,1845-04-06 14:58:10.706,1845-04-07 06:49:30.014,12,354
1846,1846-03-20 17:45:19.611,1846-03-27 00:07:58.486,1846-03-27 06:06:59.315,13,384
1847,1847-03-20 23:32:13.651,1847-04-14 23:30:52.898,1847-04-15 06:38:30.870,12,355
1848,1848-03-20 05:17:40.647,1848-04-03 16:56:18.474,1848-04-04 06:53:43.859,12,355
